"Kernel Name","gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x7ea99f2e0cb0","      ISETP.GE.OR P6, PT, R8, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0cc0","@!P3  LDG.E R49, [R2.64+0x4]","0","0"
"0x7ea99f2e0cd0","      ISETP.GE.OR P3, PT, R9, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0ce0","      CS2R R44, SRZ","0","0"
"0x7ea99f2e0cf0","@!P4  LDG.E R51, [R2.64+0x4]","0","0"
"0x7ea99f2e0d00","      ISETP.GE.OR P4, PT, R9, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0d10","@!P5  LDG.E R50, [R2.64]","0","0"
"0x7ea99f2e0d20","      ISETP.GE.OR P5, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0d30","      CS2R R46, SRZ","0","0"
"0x7ea99f2e0d40","      IADD3 R8, R140, 0x10, RZ","0","0"
"0x7ea99f2e0d50","@!P6  LDG.E R44, [R2.64+0x20]","0","0"
"0x7ea99f2e0d60","      IADD3 R9, R140, 0x11, RZ","0","0"
"0x7ea99f2e0d70","      ISETP.GE.OR P6, PT, R8, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0d80","@!P3  LDG.E R45, [R2.64+0x24]","0","0"
"0x7ea99f2e0d90","      ISETP.GE.OR P3, PT, R9, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0da0","      CS2R R40, SRZ","0","0"
"0x7ea99f2e0db0","@!P4  LDG.E R47, [R2.64+0x24]","0","0"
"0x7ea99f2e0dc0","      ISETP.GE.OR P4, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0dd0","      IADD3 R8, R140, 0x18, RZ","0","0"
"0x7ea99f2e0de0","@!P5  LDG.E R46, [R2.64+0x20]","0","0"
"0x7ea99f2e0df0","      IADD3 R10, R140, 0x19, RZ","0","0"
"0x7ea99f2e0e00","      ISETP.GE.OR P5, PT, R9, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0e10","@!P6  LDG.E R40, [R2.64+0x40]","0","0"
"0x7ea99f2e0e20","      ISETP.GE.OR P6, PT, R8, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0e30","@!P3  LDG.E R41, [R2.64+0x44]","0","0"
