"Kernel Name","void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(T1::Params)",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x782ae6300a70","      SHF.R.S32.HI R17, RZ, 0x1f, R16","384","12288"
"0x782ae6300a80","      IMAD.WIDE.U32 R28, R14, c[0x0][0x198], R28","384","12288"
"0x782ae6300a90","      ISETP.LT.AND P0, PT, R16, c[0x0][0x164], !P3","384","12288"
"0x782ae6300aa0","      CS2R R74, SRZ","384","12288"
"0x782ae6300ab0","      ISETP.LT.AND P1, PT, R11, c[0x0][0x164], !P3","384","12288"
"0x782ae6300ac0","      IMAD.WIDE.U32 R26, R27, c[0x0][0x1b8], R16","384","12288"
"0x782ae6300ad0","      ISETP.LT.AND P2, PT, R10, c[0x0][0x164], !P3","384","12288"
"0x782ae6300ae0","      CS2R R72, SRZ","384","12288"
"0x782ae6300af0","      ISETP.LT.AND P3, PT, R9, c[0x0][0x164], !P3","384","12288"
"0x782ae6300b00","      IMAD R17, R25, 0x28, R22","384","12288"
"0x782ae6300b10","      CS2R R62, SRZ","384","12288"
"0x782ae6300b20","      IMAD.IADD R22, R29, 0x1, R21","384","12288"
"0x782ae6300b30","      P2R R8, PR, RZ, 0xf","384","12288"
"0x782ae6300b40","      IMAD.SHL.U32 R17, R17, 0x4, RZ","384","12288"
"0x782ae6300b50","      LEA R2, P1, R28, R2, 0x2","384","12288"
"0x782ae6300b60","      IMAD.IADD R24, R27, 0x1, R24","384","12288"
"0x782ae6300b70","      LEA R6, P0, R26, R6, 0x2","384","12288"
"0x782ae6300b80","      IMAD.SHL.U32 R201, R17, 0x4, RZ","384","12288"
"0x782ae6300b90","      LEA.HI.X R3, R28, R3, R22, 0x2, P1","384","12288"
"0x782ae6300ba0","      CS2R R60, SRZ","384","12288"
"0x782ae6300bb0","      IADD3 R22, R19, 0x8, RZ","384","12288"
"0x782ae6300bc0","      CS2R R28, SRZ","384","12288"
"0x782ae6300bd0","      IADD3 R21, R4, 0xf, RZ","384","12288"
"0x782ae6300be0","      CS2R R130, SRZ","384","12288"
"0x782ae6300bf0","      LEA.HI R200, R22, R22, RZ, 0x1","384","12288"
"0x782ae6300c00","      CS2R R128, SRZ","384","12288"
"0x782ae6300c10","      LEA.HI.X R7, R26, R7, R24, 0x2, P0","384","12288"
"0x782ae6300c20","      CS2R R70, SRZ","384","12288"
"0x782ae6300c30","      LOP3.LUT R17, R200, 0x3ffffffe, RZ, 0xc0, !PT","384","12288"
"0x782ae6300c40","      CS2R R26, SRZ","384","12288"
"0x782ae6300c50","      SHF.R.S32.HI R19, RZ, 0x1, R200","384","12288"
"0x782ae6300c60","      CS2R R68, SRZ","384","12288"
"0x782ae6300c70","      SHF.R.S32.HI R200, RZ, 0x1f, R200","384","12288"
"0x782ae6300c80","      IMAD.IADD R17, R22, 0x1, -R17","384","12288"
"0x782ae6300c90","      ISETP.GE.U32.AND P0, PT, R21, 0x1f, PT","384","12288"
"0x782ae6300ca0","      CS2R R66, SRZ","384","12288"
"0x782ae6300cb0","      LEA.HI R200, R200, R19, RZ, 0x2","384","12288"
"0x782ae6300cc0","      IMAD R20, R17, 0x4, R20","384","12288"
"0x782ae6300cd0","      IADD3 R24, P1, R2, c[0x0][0x1a0], RZ","384","12288"
"0x782ae6300ce0","      CS2R R64, SRZ","384","12288"
"0x782ae6300cf0","      SEL R23, R23, RZ, P0","384","12288"
"0x782ae6300d00","      SHF.R.S32.HI R17, RZ, 0x1f, R20","384","12288"
"0x782ae6300d10","      LOP3.LUT R200, R200, 0x3ffffffc, RZ, 0xc0, !PT","384","12288"
"0x782ae6300d20","      LEA.HI R17, R17, R20, RZ, 0x2","384","12288"
"0x782ae6300d30","      IADD3.X R25, R3, c[0x0][0x1a4], RZ, P1, !PT","384","12288"
"0x782ae6300d40","      IMAD.IADD R200, R19, 0x1, -R200","384","12288"
"0x782ae6300d50","      LOP3.LUT R17, R17, 0xfffffffc, RZ, 0xc0, !PT","384","12288"
"0x782ae6300d60","      R2P PR, R23, 0xf","384","12288"
"0x782ae6300d70","      LOP3.LUT R201, R201, 0xfffffff0, RZ, 0xc0, !PT","384","12288"
"0x782ae6300d80","      IMAD.IADD R23, R20, 0x1, -R17","384","12288"
"0x782ae6300d90","      SHF.R.S32.HI R20, RZ, 0x1f, R15","384","12288"
"0x782ae6300da0","      LOP3.LUT R200, R23, R200, RZ, 0x3c, !PT","384","12288"
"0x782ae6300db0","      IMAD.IADD R200, R17, 0x1, R200","384","12288"
"0x782ae6300dc0","      LEA.HI R17, R20, R15, RZ, 0x5","384","12288"
"0x782ae6300dd0","      LDGSTS.E.BYPASS.LTC128B.128 P0, [R201], [R2.64]","384","12288"
"0x782ae6300de0","      IADD3 R22, P0, R24, c[0x0][0x1a0], RZ","384","12288"
"0x782ae6300df0","      IMAD R200, R19, 0x28, R200","384","12288"
"0x782ae6300e00","      SHF.R.S32.HI R19, RZ, 0x1f, R18","384","12288"
"0x782ae6300e10","      LOP3.LUT R20, R17, 0xffffffe0, RZ, 0xc0, !PT","384","12288"
"0x782ae6300e20","      IMAD.SHL.U32 R200, R200, 0x4, RZ","384","12288"
"0x782ae6300e30","      LEA.HI R17, R19, R18, RZ, 0x2","384","12288"
"0x782ae6300e40","      IADD3.X R23, R25, c[0x0][0x1a4], RZ, P0, !PT","384","12288"
"0x782ae6300e50","      IMAD.IADD R20, R15, 0x1, -R20","384","12288"
"0x782ae6300e60","      LOP3.LUT R19, R17, 0xfffffffc, RZ, 0xc0, !PT","384","12288"
"0x782ae6300e70","      IMAD.SHL.U32 R17, R17, 0x20, RZ","384","12288"
"0x782ae6300e80","      ISETP.GT.U32.AND P0, PT, R21, 0x1e, PT","384","12288"
"0x782ae6300e90","      IMAD.SHL.U32 R200, R200, 0x4, RZ","384","12288"
"0x782ae6300ea0","      SHF.R.S32.HI R15, RZ, 0x1f, R20","384","12288"
"0x782ae6300eb0","      IMAD.IADD R19, R18, 0x1, -R19","384","12288"
"0x782ae6300ec0","      LDGSTS.E.BYPASS.LTC128B.128 P2, [R201+0x1400], [R22.64]","384","12288"
"0x782ae6300ed0","      LEA.HI R15, R15, R20, RZ, 0x2","384","12288"
"0x782ae6300ee0","      IMAD.SHL.U32 R18, R19, 0x2, RZ","384","12288"
"0x782ae6300ef0","      LOP3.LUT R200, R200, 0xfffffff0, RZ, 0xc0, !PT","384","12288"
"0x782ae6300f00","      SHF.R.U32.HI R15, RZ, 0x2, R15","384","12288"
"0x782ae6300f10","      LDGSTS.E.BYPASS.LTC128B.128 P1, [R200], [R24.64]","384","12288"
"0x782ae6300f20","      LOP3.LUT R15, R18, R15, RZ, 0x3c, !PT","384","12288"
"0x782ae6300f30","@!P0  IMAD.MOV.U32 R8, RZ, RZ, RZ","384","0"
"0x782ae6300f40","      LOP3.LUT R18, R17, 0xfffff80, RZ, 0xc0, !PT","384","12288"
"0x782ae6300f50","      IMAD.MOV.U32 R17, RZ, RZ, c[0x0][0x1b0]","384","12288"
"0x782ae6300f60","      LDGSTS.E.BYPASS.LTC128B.128 P3, [R200+0x1400], [R22.64+UR4]","384","12288"
"0x782ae6300f70","      IMAD.IADD R18, R18, 0x1, R15","384","12288"
"0x782ae6300f80","      IMAD.MOV.U32 R15, RZ, RZ, c[0x0][0x1b4]","384","12288"
"0x782ae6300f90","      IMAD R18, R19, 0x20, R18","384","12288"
"0x782ae6300fa0","      IMAD R19, R204, c[0x0][0x1a4], RZ","384","12288"
"0x782ae6300fb0","      IMAD.WIDE.U32 R204, R204, c[0x0][0x1a0], RZ","384","12288"
"0x782ae6300fc0","      IMAD.IADD R196, R205, 0x1, R19","384","12288"
"0x782ae6300fd0","      IADD3 R20, P1, P0, R204, c[0x0][0x1a8], -R17","384","12288"
"0x782ae6300fe0","      IMAD.SHL.U32 R18, R18, 0x4, RZ","384","12288"
"0x782ae6300ff0","      IADD3.X R21, R196, c[0x0][0x1ac], ~R15, P1, P0","384","12288"
"0x782ae6301000","      IMAD.SHL.U32 R199, R18, 0x4, RZ","384","12288"
"0x782ae6301010","      R2P PR, R8, 0xf","384","12288"
"0x782ae6301020","      CS2R R24, SRZ","384","12288"
"0x782ae6301030","      ISETP.LT.AND P4, PT, R11, c[0x0][0x164], PT","384","12288"
"0x782ae6301040","      IMAD.MOV.U32 R11, RZ, RZ, c[0x0][0x1c8]","384","12288"
"0x782ae6301050","      ISETP.LT.AND P5, PT, R16, c[0x0][0x164], PT","384","12288"
"0x782ae6301060","      IMAD.WIDE R20, R5, 0x4, R20","384","12288"
"0x782ae6301070","      CS2R R22, SRZ","384","12288"
"0x782ae6301080","      LDGSTS.E.BYPASS.LTC128B.128 P0, [R199+0xa000], [R6.64]","384","12288"
"0x782ae6301090","      ISETP.GE.AND P0, PT, R14, c[0x0][0x160], PT","384","12288"
"0x782ae63010a0","      IMAD.WIDE.U32 R14, R5, c[0x0][0x1b8], RZ","384","12288"
"0x782ae63010b0","      LDGSTS.E.BYPASS.LTC128B.128 P1, [R199+0xa080], [R6.64+0x80]","384","12288"
"0x782ae63010c0","      ISETP.GE.AND P1, PT, R13, c[0x0][0x160], PT","384","12288"
"0x782ae63010d0","      PLOP3.LUT P0, PT, P0, PT, PT, 0x8, 0x0","384","12288"
"0x782ae63010e0","      LDGSTS.E.BYPASS.LTC128B.128 P2, [R199+0xa100], [R6.64+0x100]","384","12288"
"0x782ae63010f0","      ISETP.GE.AND P2, PT, R12, c[0x0][0x160], PT","384","12288"
"0x782ae6301100","      PLOP3.LUT P1, PT, P1, PT, PT, 0x8, 0x0","384","12288"
"0x782ae6301110","      LDGSTS.E.BYPASS.LTC128B.128 P3, [R199+0xa180], [R6.64+0x180]","384","12288"
"0x782ae6301120","      PLOP3.LUT P2, PT, P2, PT, PT, 0x8, 0x0","384","12288"
"0x782ae6301130","      PLOP3.LUT P3, PT, P6, PT, PT, 0x8, 0x0","384","12288"
"0x782ae6301140","      LDGDEPBAR","384","12288"
"0x782ae6301150","      ISETP.LT.AND P6, PT, R10, c[0x0][0x164], PT","384","12288"
"0x782ae6301160","      P2R R8, PR, RZ, 0xf","384","12288"
"0x782ae6301170","      ISETP.LT.AND P3, PT, R9, c[0x0][0x164], PT","384","12288"
"0x782ae6301180","      IMAD.MOV.U32 R9, RZ, RZ, c[0x0][0x1cc]","384","12288"
"0x782ae6301190","      SHF.R.S32.HI R10, RZ, 0x1f, R5","384","12288"
"0x782ae63011a0","      IADD3 R11, P0, R11, -c[0x0][0x1d0], RZ","384","12288"
"0x782ae63011b0","      IADD3 R12, P1, R20, R2, RZ","384","12288"
"0x782ae63011c0","      IMAD R10, R10, c[0x0][0x1b8], RZ","384","12288"
"0x782ae63011d0","      LOP3.LUT R2, R4, 0xfffffff0, RZ, 0xc0, !PT","384","12288"
"0x782ae63011e0","      IADD3.X R9, R9, ~c[0x0][0x1d4], RZ, P0, !PT","384","12288"
"0x782ae63011f0","      IMAD R10, R5, c[0x0][0x1bc], R10","384","12288"
"0x782ae6301200","      PLOP3.LUT P0, PT, P5, PT, PT, 0x80, 0x0","384","12288"
"0x782ae6301210","      IMAD.X R13, R21, 0x1, R3, P1","384","12288"
"0x782ae6301220","      ISETP.NE.AND P5, PT, R2, 0x10, PT","384","12288"
"0x782ae6301230","      IMAD.IADD R10, R15, 0x1, R10","384","12288"
"0x782ae6301240","      PLOP3.LUT P1, PT, P4, PT, PT, 0x80, 0x0","384","12288"
"0x782ae6301250","      PLOP3.LUT P2, PT, P6, PT, PT, 0x80, 0x0","384","12288"
"0x782ae6301260","      SEL R8, R8, RZ, P5","384","12288"
"0x782ae6301270","      LEA R11, P5, R14, R11, 0x2","384","12288"
"0x782ae6301280","      P2R R198, PR, RZ, 0xf","384","12288"
"0x782ae6301290","      R2P PR, R8, 0xf","384","12288"
"0x782ae63012a0","      IADD3 R16, P4, R12, c[0x0][0x1a0], RZ","384","12288"
"0x782ae63012b0","      LEA.HI.X R9, R14, R9, R10, 0x2, P5","384","12288"
"0x782ae63012c0","      ISETP.NE.AND P5, PT, R2, 0x10, PT","384","12288"
"0x782ae63012d0","      IADD3.X R17, R13, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae63012e0","      IADD3 R18, P4, R16, c[0x0][0x1a0], RZ","384","12288"
"0x782ae63012f0","      SHF.R.U32.HI R5, RZ, 0x5, R0","384","12288"
"0x782ae6301300","      LDGSTS.E.BYPASS.LTC128B.128 P0, [R201+0x80], [R12.64]","384","12288"
"0x782ae6301310","      IADD3.X R19, R17, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae6301320","      IADD3 R14, P4, R18, c[0x0][0x1a0], RZ","384","12288"
"0x782ae6301330","      LDGSTS.E.BYPASS.LTC128B.128 P1, [R200+0x80], [R16.64]","384","12288"
"0x782ae6301340","      SHF.R.U32.HI R3, RZ, 0x4, R183","384","12288"
"0x782ae6301350","@!P5  IMAD.MOV.U32 R198, RZ, RZ, RZ","384","0"
"0x782ae6301360","      IADD3.X R15, R19, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae6301370","      LDGSTS.E.BYPASS.LTC128B.128 P2, [R201+0x1480], [R18.64]","384","12288"
"0x782ae6301380","      SHF.R.U32.HI R183, RZ, 0x2, R183","384","12288"
"0x782ae6301390","      LDGSTS.E.BYPASS.LTC128B.128 P3, [R200+0x1480], [R14.64]","384","12288"
"0x782ae63013a0","      R2P PR, R198, 0xf","384","12288"
"0x782ae63013b0","      IADD3 R10, P4, R11, R6, RZ","384","12288"
"0x782ae63013c0","      SHFL.IDX PT, R5, R5, RZ, 0x1f","384","12288"
"0x782ae63013d0","      ISETP.NE.AND P5, PT, R2, 0x20, PT","384","12288"
"0x782ae63013e0","      IMAD.X R11, R9, 0x1, R7, P4","384","12288"
"0x782ae63013f0","      IADD3 R20, P4, R14, c[0x0][0x1a8], RZ","384","12288"
"0x782ae6301400","      SEL R211, R8, RZ, P5","384","12288"
"0x782ae6301410","      IADD3.X R21, R15, c[0x0][0x1ac], RZ, P4, !PT","384","12288"
"0x782ae6301420","      LDGSTS.E.BYPASS.LTC128B.128 P0, [R199+0xc000], [R10.64]","384","12288"
